file_path,detected_language,translation_group,title,description,word_count,content_score,seo_score,technical_score,internal_linking_score,translation_score,priority_score,issue_count,top_issues,recommended_action
content/Aspose.Blog/3d/2015-10-28-introducing-aspose.3d-for-.net-a-flexible-and-feature-rich-api-to-work-with-3d-file-formats/index.md,en,content/Aspose.Blog/3d/2015-10-28-introducing-aspose.3d-for-.net-a-flexible-and-feature-rich-api-to-work-with-3d-file-formats/index.md,"Introducing Aspose.3D for .NET, a flexible and feature-rich API to work with 3D File Formats","Generate UTF-8 encoded DataMatrix barcode in Java. Save generated barcode as EMP, BMP, and PNG image in Java. Java Barcode library.",462,59,93,85,86,100,100,12,thin_content; weak_intro; missing_faq; missing_conclusion; missing_examples,"Expand with steps, examples, troubleshooting, FAQs, and conclusion."
content/Aspose.Blog/3d/2015-11-23-.net-3d-modeing-and-file-manipulation-api-read-write-convert-3d-files/index.md,en,content/Aspose.Blog/3d/2015-11-23-.net-3d-modeing-and-file-manipulation-api-read-write-convert-3d-files/index.md,.NET 3D Modeing and File Manipulation API - Aspose.3D for .NET 1.0.0,"C# ASP.NET 3D library. Create, read, and convert 3D file formats in ASP.NET, Windows Forms, Web Services, and Mono applications. C# 3D library.",726,83,100,85,93,100,45,8,moderate_thin_content; weak_intro; missing_faq; missing_conclusion; missing_markdown_images,"Expand with examples, screenshots, troubleshooting notes, and a stronger conclusion."
content/Aspose.Blog/3d/2015-12-07-import-and-export-3d-scene-as-the-wavefront-obj-fbx-7.2-and-fbx-7.3-using-aspose.3d-for-.net-1.1.0/index.md,en,content/Aspose.Blog/3d/2015-12-07-import-and-export-3d-scene-as-the-wavefront-obj-fbx-7.2-and-fbx-7.3-using-aspose.3d-for-.net-1.1.0/index.md,"Import and Export 3D Scene as Wavefront OBJ, FBX 7.2 and FBX 7.3 using Aspose.3D for .NET 1.1.0","Import and export 3D scenes as Wavefront's OBJ, FBX 7.2 (ASCII, Binary), and FBX 7.3 (ASCII, Binary) formats using C#. C# .NET 3D Library.",636,57,93,85,93,100,96,12,moderate_thin_content; weak_intro; missing_faq; missing_conclusion; missing_examples,"Expand with examples, screenshots, troubleshooting notes, and a stronger conclusion."
content/Aspose.Blog/3d/2016-01-05-setup-the-target-camera-and-triangulate-a-mesh-using-aspose.3d-for-.net-1.2.0/index.md,en,content/Aspose.Blog/3d/2016-01-05-setup-the-target-camera-and-triangulate-a-mesh-using-aspose.3d-for-.net-1.2.0/index.md,Setup the Target Camera and Triangulate a Mesh using Aspose.3D for .NET 1.2.0,Use .NET Excel API to parse HTML tags when importing data from HTML to Excel using C# or VB.NET within ASP.NET or other .NET applications.,566,64,93,85,86,100,96,12,moderate_thin_content; weak_intro; missing_faq; missing_conclusion; missing_examples,"Expand with examples, screenshots, troubleshooting notes, and a stronger conclusion."
content/Aspose.Blog/3d/2016-01-25-download-and-run-examples-for-aspose.3d-for-.net/index.md,en,content/Aspose.Blog/3d/2016-01-25-download-and-run-examples-for-aspose.3d-for-.net/index.md,Download and Run Examples for Aspose.3D for .NET,C# ASP.NET library to create read convert and modify 3D file formats programmatically without the 3D modeling and rendering software. C# .NET 3D API.,178,59,100,85,83,100,100,12,thin_content; missing_faq; missing_conclusion; missing_examples; missing_markdown_images,"Expand with steps, examples, troubleshooting, FAQs, and conclusion."
content/Aspose.Blog/3d/2016-03-15-read-universal-3d-document-create-vertex-element-and-embed-raw-texture-data-to-fbx-using-aspose.3d-for-.net-1.3.0/index.md,en,content/Aspose.Blog/3d/2016-03-15-read-universal-3d-document-create-vertex-element-and-embed-raw-texture-data-to-fbx-using-aspose.3d-for-.net-1.3.0/index.md,Read Universal 3D Document and Create Vertex Element using Aspose.3D for .NET 1.3.0,Use .NET 3D API to load and read universal 3D documents using C# or VB.NET in ASP.NET or other .NET based applications.,907,83,93,85,93,100,53,8,weak_intro; missing_faq; missing_conclusion; missing_markdown_images; missing_setup_context,"Add a concise promise, audience, and outcome in the opening paragraph."
content/Aspose.Blog/3d/2016-04-05-universal-3d-file-export-protect-vertex-element-data-and-enhance-universal-3d-file-import-using-aspose.3d-for-.net-1.4.0/index.md,en,content/Aspose.Blog/3d/2016-04-05-universal-3d-file-export-protect-vertex-element-data-and-enhance-universal-3d-file-import-using-aspose.3d-for-.net-1.4.0/index.md,"Universal 3D File Export, Protect Vertex Element Data and Enhance Universal 3D File Import using Aspose.3D for .NET 1.4.0","Export Webpage to PNG, JPEG, TIFF, BMP Images in ASP.NET MVC application. Download the open source ASP.NET MVC application to convert web page to image.",633,57,93,85,86,100,100,13,moderate_thin_content; weak_intro; missing_faq; missing_conclusion; missing_examples,"Expand with examples, screenshots, troubleshooting notes, and a stronger conclusion."
content/Aspose.Blog/3d/2016-05-09-split-mesh-of-scene-by-material-and-build-primitive-3d-models-in-csharp/index.md,en,content/Aspose.Blog/3d/2016-05-09-split-mesh-of-scene-by-material-and-build-primitive-3d-models-in-csharp/index.md,Split Mesh of Scene by Material and Build Primitive 3D Models in C#,"Get mesh of the primitives, create a scene from the primitive 3D models usiing C#. Convert a mesh to triangle mesh with custom memory layout of the vertex.",1106,64,100,85,86,100,86,10,weak_intro; missing_faq; missing_conclusion; missing_examples; missing_markdown_images,"Add a concise promise, audience, and outcome in the opening paragraph."
content/Aspose.Blog/3d/2016-05-31-enhanced-export-of-3ds-to-stl-ascii-reading-fbx-and-splitting-of-mesh-improvement-using-aspose.3d-for-.net-1.6.1/index.md,en,content/Aspose.Blog/3d/2016-05-31-enhanced-export-of-3ds-to-stl-ascii-reading-fbx-and-splitting-of-mesh-improvement-using-aspose.3d-for-.net-1.6.1/index.md,"Enhanced Export of 3DS to STL ASCII, Reading FBX and Splitting of Mesh Improvement using Aspose.3D for .NET 1.6.1",Convert CAD DWG DFX to PDF and raster image formats in C#. Convert CAD layers and layouts to PDF and images. C# CAD / DWG Converter Library.,593,57,93,85,86,100,100,12,moderate_thin_content; weak_intro; missing_faq; missing_conclusion; missing_examples,"Expand with examples, screenshots, troubleshooting notes, and a stronger conclusion."
content/Aspose.Blog/3d/2016-07-07-render-an-image-of-3d-model-control-shadows-on-3d-geometries-calculate-normals-for-meshes-and-combine-quaternions-using-aspose.3d-for-.net-1.7.0/index.md,en,content/Aspose.Blog/3d/2016-07-07-render-an-image-of-3d-model-control-shadows-on-3d-geometries-calculate-normals-for-meshes-and-combine-quaternions-using-aspose.3d-for-.net-1.7.0/index.md,"Render an Image of 3D Model, Control Shadows on 3D Geometries, Calculate Normals for Meshes and Combine Quaternions using Aspose.3D for .NET 1.7.0",Use .NET PDF API to convert layers in PDF documents to HTML using C# or VB.NET within ASP.NET or other .NET based applications.,823,64,93,85,86,100,96,11,weak_intro; missing_faq; missing_conclusion; missing_examples; missing_markdown_images,"Add a concise promise, audience, and outcome in the opening paragraph."
content/Aspose.Blog/3d/2016-08-10-import-a-3d-scene-from-collada-file-using-csharp/index.md,en,content/Aspose.Blog/3d/2016-08-10-import-a-3d-scene-from-collada-file-using-csharp/index.md,Import a 3D Scene from Collada File using Aspose.3D for .NET 2.0.0,Use .NET 3D API to import 3D scenes from Collada files using C# or VB.NET with Aspose.3D for .NET.,1234,64,100,85,86,100,86,10,weak_intro; missing_faq; missing_conclusion; missing_examples; missing_markdown_images,"Add a concise promise, audience, and outcome in the opening paragraph."
